city_development_index,gender,relevent_experience,enrolled_university,education_level,experience,training_hours,target
0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,4,92,1
0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,10,102,0
0.794,Male,No relevent experience,no_enrollment,Graduate,5,26,0
0.926,Male,No relevent experience,Full time course,High School,4,43,0
0.924,Male,Has relevent experience,no_enrollment,Graduate,20,45,0
0.754,Male,Has relevent experience,Full time course,Graduate,2,52,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,19,0
0.767,Male,Has relevent experience,no_enrollment,Graduate,20,26,1
0.855,Male,Has relevent experience,Part time course,Graduate,6,90,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,6,25,0
0.887,Male,Has relevent experience,no_enrollment,Masters,20,48,0
0.865,Male,Has relevent experience,no_enrollment,Graduate,10,142,1
0.855,Other,No relevent experience,no_enrollment,Masters,4,13,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,15,47,0
0.91,Female,Has relevent experience,no_enrollment,Masters,14,28,0
0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,20,22,0
0.624,Male,No relevent experience,Full time course,Graduate,1,18,1
0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,2,29,0
0.855,Male,Has relevent experience,no_enrollment,Masters,5,46,0
0.893,Male,Has relevent experience,no_enrollment,Masters,5,65,0
0.92,Male,No relevent experience,no_enrollment,Graduate,3,35,0
0.855,Male,No relevent experience,Full time course,Graduate,9,14,0
0.92,Female,Has relevent experience,no_enrollment,Masters,2,4,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,15,12,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,108,0
0.92,Male,No relevent experience,no_enrollment,Graduate,20,136,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,5,27,0
0.884,Male,Has relevent experience,no_enrollment,Graduate,15,86,0
0.866,Female,No relevent experience,Part time course,Graduate,1,83,0
0.698,Male,No relevent experience,Full time course,Masters,11,42,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,6,332,0
0.913,Male,No relevent experience,Full time course,Graduate,4,140,0
0.91,Male,No relevent experience,no_enrollment,High School,3,182,0
0.92,Female,No relevent experience,no_enrollment,Graduate,3,13,1
0.802,Male,Has relevent experience,Full time course,Graduate,9,33,0
0.802,Male,Has relevent experience,no_enrollment,Graduate,6,14,1
0.55,Male,Has relevent experience,no_enrollment,Graduate,6,27,1
0.55,Male,Has relevent experience,no_enrollment,Graduate,8,24,1
0.92,Female,Has relevent experience,no_enrollment,Graduate,11,20,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,12,52,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,20,160,0
0.897,Male,Has relevent experience,no_enrollment,Masters,9,3,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,2,2,1
0.91,Male,Has relevent experience,no_enrollment,Graduate,20,28,0
0.754,Male,Has relevent experience,no_enrollment,Graduate,20,46,0
0.855,Male,Has relevent experience,no_enrollment,Graduate,8,210,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,10,36,0
0.949,Male,No relevent experience,Full time course,Graduate,4,160,1
0.624,Male,Has relevent experience,Full time course,Graduate,2,101,0
0.926,Male,Has relevent experience,no_enrollment,Masters,6,46,0
0.925,Male,Has relevent experience,no_enrollment,Graduate,20,19,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,3,26,1
0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,9,59,0
0.92,Male,Has relevent experience,Part time course,Graduate,10,260,0
0.624,Female,Has relevent experience,no_enrollment,Graduate,11,74,0
0.91,Male,Has relevent experience,no_enrollment,Phd,20,20,1
0.878,Male,Has relevent experience,no_enrollment,Graduate,12,8,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,6,131,0
0.836,Male,Has relevent experience,Full time course,Masters,7,45,0
0.693,Male,Has relevent experience,Full time course,Graduate,11,109,0
0.855,Male,Has relevent experience,no_enrollment,Graduate,3,70,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,20,17,0
0.92,Female,No relevent experience,no_enrollment,Masters,15,51,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,6,60,1
0.926,Male,No relevent experience,no_enrollment,Graduate,12,7,0
0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,20,290,0
0.804,Male,No relevent experience,no_enrollment,High School,2,145,0
0.92,Male,No relevent experience,no_enrollment,Masters,3,133,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,10,76,0
0.698,Female,No relevent experience,Full time course,Masters,5,21,1
0.624,Female,Has relevent experience,no_enrollment,Graduate,8,34,0
0.92,Male,No relevent experience,no_enrollment,Graduate,9,15,0
0.866,Male,No relevent experience,no_enrollment,Graduate,20,156,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,15,0
0.754,Male,Has relevent experience,no_enrollment,Graduate,12,100,1
0.855,Male,Has relevent experience,Part time course,Graduate,6,102,0
0.92,Male,No relevent experience,no_enrollment,High School,4,52,0
0.92,Male,Has relevent experience,Full time course,High School,4,112,1
0.92,Male,No relevent experience,no_enrollment,Phd,20,14,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,6,49,1
0.91,Male,Has relevent experience,no_enrollment,Graduate,15,72,0
0.925,Male,Has relevent experience,Full time course,Graduate,14,141,1
0.926,Male,No relevent experience,no_enrollment,High School,6,28,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,13,6,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,17,125,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,33,0
0.92,Female,Has relevent experience,no_enrollment,Masters,15,55,0
0.698,Male,No relevent experience,no_enrollment,Graduate,20,32,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,11,0
0.754,Male,Has relevent experience,no_enrollment,Graduate,20,41,0
0.92,Male,Has relevent experience,no_enrollment,Masters,20,87,1
0.855,Male,Has relevent experience,no_enrollment,Masters,10,114,0
0.698,Male,Has relevent experience,Part time course,Masters,5,15,0
0.878,Female,Has relevent experience,Part time course,High School,2,22,0
0.92,Male,Has relevent experience,no_enrollment,Masters,20,13,0
0.949,Male,Has relevent experience,no_enrollment,Graduate,20,246,0
0.92,Male,Has relevent experience,no_enrollment,Masters,9,22,0
0.92,Male,Has relevent experience,no_enrollment,Masters,20,81,0
0.698,Male,No relevent experience,Full time course,Graduate,5,24,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,50,0
0.924,Male,No relevent experience,Full time course,High School,6,15,0
0.939,Male,Has relevent experience,no_enrollment,Masters,20,31,0
0.926,Male,Has relevent experience,no_enrollment,Masters,20,84,0
0.897,Male,Has relevent experience,Part time course,Graduate,4,42,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,20,72,0
0.789,Male,Has relevent experience,no_enrollment,Graduate,14,42,1
0.698,Male,Has relevent experience,no_enrollment,Graduate,15,152,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,12,60,0
0.624,Male,No relevent experience,Full time course,Masters,2,8,0
0.91,Male,No relevent experience,Full time course,Masters,13,17,1
0.923,Male,No relevent experience,no_enrollment,High School,1,33,0
0.91,Male,Has relevent experience,no_enrollment,Masters,4,38,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,14,178,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,15,11,0
0.893,Male,Has relevent experience,no_enrollment,High School,20,87,0
0.802,Male,Has relevent experience,no_enrollment,Graduate,13,84,0
0.884,Male,Has relevent experience,no_enrollment,Graduate,20,32,0
0.624,Male,No relevent experience,no_enrollment,Graduate,2,39,0
0.903,Male,Has relevent experience,no_enrollment,Graduate,3,55,1
0.92,Male,Has relevent experience,no_enrollment,Masters,2,104,0
0.92,Male,Has relevent experience,no_enrollment,Masters,20,8,0
0.624,Male,No relevent experience,Full time course,Graduate,2,102,0
0.624,Male,No relevent experience,Full time course,Graduate,3,42,0
0.624,Male,Has relevent experience,no_enrollment,Masters,3,88,0
0.92,Male,Has relevent experience,no_enrollment,Masters,20,7,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,20,62,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,6,83,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,9,11,0
0.926,Male,No relevent experience,Part time course,Phd,20,10,0
0.939,Male,Has relevent experience,no_enrollment,Masters,10,114,0
0.91,Male,No relevent experience,Full time course,Graduate,2,80,1
0.92,Male,Has relevent experience,Part time course,Graduate,20,108,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,2,45,0
0.92,Male,No relevent experience,Full time course,Graduate,5,77,0
0.926,Male,Has relevent experience,no_enrollment,Masters,15,8,0
0.727,Female,Has relevent experience,no_enrollment,Graduate,9,37,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,13,162,0
0.903,Male,Has relevent experience,no_enrollment,Masters,19,4,0
0.884,Female,No relevent experience,no_enrollment,Phd,3,41,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,190,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,6,11,0
0.92,Male,No relevent experience,Full time course,High School,3,30,0
0.92,Male,Has relevent experience,no_enrollment,Masters,13,39,0
0.804,Male,Has relevent experience,Full time course,High School,9,16,0
0.926,Male,No relevent experience,no_enrollment,Graduate,20,5,0
0.698,Male,No relevent experience,Full time course,High School,8,39,0
0.926,Male,Has relevent experience,no_enrollment,Masters,10,29,0
0.92,Other,No relevent experience,Part time course,High School,6,54,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,9,44,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,15,47,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,74,0
0.624,Male,Has relevent experience,no_enrollment,Masters,6,8,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,3,162,0
0.762,Other,Has relevent experience,Part time course,High School,3,262,0
0.836,Male,Has relevent experience,no_enrollment,Masters,14,6,0
0.6659999999999999,Male,Has relevent experience,Part time course,Graduate,9,19,1
0.6659999999999999,Other,No relevent experience,no_enrollment,Graduate,20,23,1
0.897,Male,Has relevent experience,no_enrollment,Masters,15,134,0
0.926,Male,Has relevent experience,no_enrollment,Masters,11,40,0
0.884,Male,Has relevent experience,no_enrollment,Graduate,12,11,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,11,102,0
0.624,Male,No relevent experience,Full time course,Graduate,2,100,0
0.923,Male,No relevent experience,no_enrollment,Masters,3,30,0
0.624,Male,No relevent experience,no_enrollment,Graduate,1,14,1
0.923,Male,No relevent experience,no_enrollment,Primary School,1,103,0
0.92,Male,Has relevent experience,Part time course,Graduate,5,40,0
0.91,Male,Has relevent experience,no_enrollment,Phd,20,27,0
0.926,Male,No relevent experience,no_enrollment,High School,10,46,0
0.926,Male,Has relevent experience,no_enrollment,High School,7,110,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,13,96,0
0.92,Male,Has relevent experience,Full time course,Graduate,6,240,0
0.949,Male,Has relevent experience,no_enrollment,Graduate,4,42,0
0.939,Male,Has relevent experience,no_enrollment,Masters,7,16,1
0.64,Male,Has relevent experience,no_enrollment,Graduate,20,40,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,5,94,0
0.878,Male,No relevent experience,Part time course,Graduate,10,25,0
0.516,Male,Has relevent experience,no_enrollment,Graduate,9,11,0
0.698,Male,Has relevent experience,no_enrollment,Graduate,8,23,0
0.727,Male,Has relevent experience,no_enrollment,Graduate,10,113,0
0.924,Male,No relevent experience,Full time course,Graduate,2,39,1
0.92,Male,Has relevent experience,Full time course,Graduate,20,40,0
0.92,Male,Has relevent experience,no_enrollment,Masters,20,56,0
0.926,Male,Has relevent experience,Part time course,Graduate,19,64,0
0.754,Male,Has relevent experience,no_enrollment,Graduate,5,51,0
0.855,Female,Has relevent experience,Full time course,Graduate,6,41,0
0.579,Male,Has relevent experience,no_enrollment,Graduate,4,320,0
0.897,Male,Has relevent experience,no_enrollment,Masters,7,20,0
0.804,Male,Has relevent experience,Full time course,Graduate,9,74,0
0.624,Male,Has relevent experience,no_enrollment,Masters,3,129,1
0.855,Female,Has relevent experience,no_enrollment,Masters,10,42,0
0.92,Male,No relevent experience,Full time course,High School,3,126,1
0.923,Male,Has relevent experience,no_enrollment,Graduate,20,166,0
0.913,Male,Has relevent experience,no_enrollment,Graduate,2,110,0
0.92,Male,Has relevent experience,Full time course,Graduate,20,37,0
0.804,Female,Has relevent experience,Part time course,Graduate,2,95,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,29,1
0.926,Male,Has relevent experience,no_enrollment,Masters,20,31,0
0.743,Male,No relevent experience,Full time course,Masters,11,97,0
0.926,Male,No relevent experience,no_enrollment,Primary School,3,16,0
0.92,Male,No relevent experience,no_enrollment,Primary School,4,14,0
0.804,Male,Has relevent experience,no_enrollment,Phd,20,206,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,2,204,0
0.92,Male,Has relevent experience,no_enrollment,Masters,18,116,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,25,1
0.698,Male,Has relevent experience,Full time course,Masters,15,100,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,107,0
0.769,Male,Has relevent experience,Part time course,Masters,11,17,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,10,140,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,3,75,0
0.855,Female,Has relevent experience,no_enrollment,Masters,9,42,1
0.91,Female,Has relevent experience,no_enrollment,Graduate,7,22,0
0.913,Male,Has relevent experience,no_enrollment,Masters,20,143,0
0.855,Female,Has relevent experience,no_enrollment,Graduate,14,72,0
0.92,Male,Has relevent experience,no_enrollment,High School,11,7,0
0.897,Male,No relevent experience,Full time course,Graduate,3,182,0
0.915,Male,Has relevent experience,no_enrollment,Graduate,15,50,0
0.887,Male,Has relevent experience,no_enrollment,High School,2,82,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,4,60,1
0.802,Male,Has relevent experience,Full time course,Masters,5,124,0
0.698,Male,No relevent experience,Full time course,Masters,3,57,1
0.92,Female,Has relevent experience,no_enrollment,Graduate,9,17,0
0.698,Male,No relevent experience,no_enrollment,Primary School,3,31,0
0.897,Male,Has relevent experience,no_enrollment,Graduate,20,36,0
0.893,Male,Has relevent experience,Part time course,Graduate,15,198,0
0.91,Male,No relevent experience,no_enrollment,Masters,5,31,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,31,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,26,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,6,55,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,11,8,1
0.91,Male,Has relevent experience,no_enrollment,High School,20,38,0
0.899,Male,Has relevent experience,no_enrollment,Graduate,16,8,0
0.878,Male,Has relevent experience,no_enrollment,Masters,20,32,1
0.7759999999999999,Male,Has relevent experience,Part time course,Graduate,18,51,0
0.804,Male,Has relevent experience,Full time course,Graduate,9,22,0
0.926,Male,Has relevent experience,Full time course,High School,7,17,0
0.899,Male,Has relevent experience,no_enrollment,Graduate,5,19,0
0.624,Male,Has relevent experience,Full time course,Masters,9,46,1
0.91,Female,Has relevent experience,no_enrollment,Graduate,13,15,0
0.92,Male,Has relevent experience,no_enrollment,Masters,20,23,1
0.893,Male,Has relevent experience,no_enrollment,Graduate,20,38,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,52,0
0.92,Female,No relevent experience,no_enrollment,Graduate,1,22,1
0.926,Male,Has relevent experience,no_enrollment,Masters,15,65,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,7,86,0
0.887,Male,No relevent experience,Full time course,Graduate,4,52,1
0.926,Male,No relevent experience,no_enrollment,Graduate,3,86,0
0.897,Male,No relevent experience,Full time course,Masters,5,288,1
0.91,Male,Has relevent experience,no_enrollment,Masters,20,53,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,17,60,0
0.91,Male,Has relevent experience,no_enrollment,Masters,18,178,0
0.939,Male,Has relevent experience,no_enrollment,Phd,20,166,0
0.924,Male,Has relevent experience,no_enrollment,Phd,20,62,0
0.624,Male,Has relevent experience,Full time course,Graduate,7,35,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,17,106,0
0.836,Male,No relevent experience,no_enrollment,Graduate,6,58,0
0.939,Male,Has relevent experience,no_enrollment,Masters,16,166,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,109,0
0.884,Male,Has relevent experience,no_enrollment,Graduate,1,37,0
0.89,Male,No relevent experience,no_enrollment,Graduate,9,51,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,16,84,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,20,72,0
0.887,Male,Has relevent experience,no_enrollment,High School,20,47,0
0.855,Male,No relevent experience,Full time course,Graduate,12,47,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,8,198,1
0.92,Male,No relevent experience,no_enrollment,Graduate,2,64,0
0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,15,23,1
0.884,Male,No relevent experience,Full time course,Masters,14,96,0
0.624,Male,No relevent experience,no_enrollment,High School,2,306,0
0.754,Male,Has relevent experience,no_enrollment,Graduate,9,8,0
0.762,Male,Has relevent experience,no_enrollment,Graduate,20,48,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,8,98,1
0.92,Male,No relevent experience,Full time course,Graduate,1,53,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,102,0
0.92,Male,No relevent experience,no_enrollment,Primary School,1,43,0
0.92,Male,No relevent experience,no_enrollment,Graduate,20,32,0
0.884,Female,Has relevent experience,no_enrollment,Masters,3,322,1
0.92,Female,Has relevent experience,Full time course,Graduate,4,7,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,16,53,0
0.855,Male,Has relevent experience,no_enrollment,Graduate,10,161,0
0.897,Male,No relevent experience,no_enrollment,Masters,8,11,0
0.624,Male,No relevent experience,Full time course,Graduate,1,72,1
0.794,Female,Has relevent experience,no_enrollment,Masters,6,182,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,20,67,0
0.527,Female,No relevent experience,no_enrollment,Graduate,1,50,0
0.884,Female,No relevent experience,Part time course,Graduate,5,16,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,20,38,0
0.92,Other,Has relevent experience,no_enrollment,Graduate,5,98,0
0.698,Male,No relevent experience,Part time course,Graduate,4,7,1
0.92,Male,No relevent experience,Full time course,Graduate,2,88,0
0.884,Male,Has relevent experience,no_enrollment,Masters,4,112,0
0.7659999999999999,Other,Has relevent experience,Full time course,Graduate,15,30,1
0.855,Other,No relevent experience,Full time course,High School,4,36,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,19,24,0
0.92,Male,Has relevent experience,no_enrollment,Masters,2,28,0
0.878,Male,Has relevent experience,Part time course,Graduate,10,166,0
0.624,Male,Has relevent experience,Full time course,Masters,10,61,1
0.762,Male,Has relevent experience,no_enrollment,Graduate,20,24,0
0.91,Male,No relevent experience,Full time course,Graduate,10,8,1
0.903,Male,Has relevent experience,no_enrollment,Graduate,9,133,0
0.855,Male,Has relevent experience,no_enrollment,Graduate,14,143,0
0.878,Male,Has relevent experience,no_enrollment,Graduate,20,29,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,9,11,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,4,7,0
0.762,Male,Has relevent experience,no_enrollment,Graduate,8,87,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,8,18,0
0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,9,76,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,6,114,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,7,30,0
0.923,Male,Has relevent experience,no_enrollment,Graduate,20,80,0
0.7759999999999999,Male,Has relevent experience,Full time course,Graduate,14,52,0
0.624,Female,Has relevent experience,no_enrollment,Graduate,1,13,0
0.624,Male,No relevent experience,no_enrollment,Primary School,2,12,1
0.836,Male,Has relevent experience,no_enrollment,Masters,2,36,0
0.926,Male,Has relevent experience,no_enrollment,Masters,20,67,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,9,100,0
0.91,Male,Has relevent experience,no_enrollment,Phd,15,58,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,7,18,1
0.802,Male,Has relevent experience,Full time course,Graduate,1,11,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,4,15,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,10,206,0
0.939,Male,Has relevent experience,no_enrollment,Masters,20,88,0
0.926,Male,Has relevent experience,Part time course,Masters,14,16,0
0.924,Male,Has relevent experience,no_enrollment,Graduate,20,95,0
0.624,Male,No relevent experience,no_enrollment,Graduate,6,53,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,220,1
0.795,Male,Has relevent experience,no_enrollment,Masters,20,94,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,17,20,0
0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,8,47,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,60,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,6,78,1
0.939,Male,Has relevent experience,no_enrollment,Graduate,20,2,0
0.794,Female,Has relevent experience,Full time course,Graduate,9,206,0
0.855,Male,No relevent experience,no_enrollment,High School,12,90,0
0.682,Male,Has relevent experience,no_enrollment,Graduate,12,25,0
0.624,Male,Has relevent experience,Full time course,Graduate,5,8,1
0.926,Male,Has relevent experience,no_enrollment,Graduate,9,22,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,19,90,0
0.92,Male,Has relevent experience,Full time course,High School,10,81,1
0.926,Male,Has relevent experience,no_enrollment,Graduate,7,120,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,4,18,1
0.802,Male,Has relevent experience,Full time course,Graduate,8,314,0
0.91,Male,No relevent experience,Full time course,Graduate,2,10,0
0.624,Male,Has relevent experience,no_enrollment,Masters,8,25,1
0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,1,146,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,3,26,0
0.7959999999999999,Male,Has relevent experience,no_enrollment,Graduate,11,25,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,50,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,9,30,0
0.698,Male,Has relevent experience,no_enrollment,Graduate,18,39,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,20,43,1
0.74,Male,No relevent experience,no_enrollment,Graduate,4,21,1
0.855,Male,Has relevent experience,no_enrollment,Graduate,9,226,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,14,60,0
0.579,Male,Has relevent experience,no_enrollment,Graduate,2,9,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,7,50,0
0.754,Male,No relevent experience,Part time course,High School,4,280,1
0.91,Male,Has relevent experience,no_enrollment,Graduate,3,91,0
0.624,Male,Has relevent experience,no_enrollment,Masters,5,15,1
0.92,Male,Has relevent experience,Full time course,Graduate,5,14,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,10,74,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,20,43,1
0.926,Male,Has relevent experience,no_enrollment,Masters,14,52,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,8,54,1
0.754,Male,No relevent experience,Part time course,Graduate,8,50,0
0.698,Male,Has relevent experience,no_enrollment,Graduate,7,100,0
0.895,Male,Has relevent experience,no_enrollment,Masters,17,42,0
0.91,Male,Has relevent experience,no_enrollment,Phd,20,11,0
0.91,Male,Has relevent experience,no_enrollment,Masters,10,74,0
0.802,Male,Has relevent experience,Full time course,High School,7,17,0
0.89,Male,Has relevent experience,Full time course,Graduate,9,90,0
0.855,Male,No relevent experience,no_enrollment,Masters,20,234,0
0.624,Male,No relevent experience,no_enrollment,Graduate,3,11,1
0.924,Male,Has relevent experience,no_enrollment,Masters,7,163,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,10,9,0
0.855,Male,No relevent experience,no_enrollment,Graduate,5,36,0
0.8270000000000001,Male,Has relevent experience,Full time course,Graduate,5,6,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,11,72,0
0.926,Male,Has relevent experience,Part time course,Graduate,18,84,0
0.698,Male,Has relevent experience,no_enrollment,Graduate,14,24,0
0.913,Male,Has relevent experience,no_enrollment,High School,20,77,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,17,8,0
0.865,Male,Has relevent experience,no_enrollment,Masters,20,8,0
0.92,Male,No relevent experience,no_enrollment,Graduate,20,55,0
0.624,Male,Has relevent experience,Full time course,Graduate,9,74,1
0.624,Male,Has relevent experience,Full time course,Graduate,2,36,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,151,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,11,4,0
0.743,Male,Has relevent experience,no_enrollment,Masters,2,102,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,7,29,0
0.91,Male,Has relevent experience,no_enrollment,Masters,20,78,0
0.624,Male,Has relevent experience,Full time course,Graduate,2,141,1
0.924,Male,Has relevent experience,Full time course,High School,8,41,1
0.738,Male,Has relevent experience,Full time course,Graduate,5,13,0
0.866,Male,Has relevent experience,no_enrollment,Masters,12,30,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,8,104,1
0.701,Male,No relevent experience,Full time course,Graduate,2,108,0
0.884,Male,Has relevent experience,no_enrollment,Graduate,12,98,0
0.91,Female,Has relevent experience,no_enrollment,Masters,5,57,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,44,1
0.92,Male,Has relevent experience,no_enrollment,Masters,20,9,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,53,0
